constituency,ac_number,candidate,party,votes,turnout,reserved,region
Ponneri,2,NAGAIYAN.G,IND,232,,SC,Chennai Metro
Ponneri,2,VENKATESAN.S,IND,203,,SC,Chennai Metro
Ponneri,2,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,166,,SC,Chennai Metro
Ponneri,2,BARATHIRAJA.K,IND,159,,SC,Chennai Metro
Tiruttani,3,G.HARI,AIADMK,89169,,GEN,Chennai Metro
Tiruttani,3,M.SATHYA KUMAR,TVK,83376,,GEN,Chennai Metro
Tiruttani,3,D.KRISHNAMURTHY,DMDK,54863,,GEN,Chennai Metro
Tiruttani,3,CHANDRAN .S.S,NTK,6704,,GEN,Chennai Metro
Tiruttani,3,NOTA,NOTA,1210,,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.M,IND,946,,GEN,Chennai Metro
Tiruttani,3,JAMBU.B,IND,628,,GEN,Chennai Metro
Tiruttani,3,MUTHURAJ.G,Bahujan Samaj Party,470,,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.D,IND,467,,GEN,Chennai Metro
Tiruttani,3,BALAJI.A,Thakkam Katchi,272,,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.K,IND,210,,GEN,Chennai Metro
Tiruttani,3,DR.A.V.NARENDRAN,IND,198,,GEN,Chennai Metro
Tiruttani,3,SHETTU.S,IND,153,,GEN,Chennai Metro
Tiruttani,3,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,132,,GEN,Chennai Metro
Thiruvallur,4,DR. T. ARUNKUMAR,TVK,92190,,GEN,Chennai Metro
Thiruvallur,4,V.G. RAAJENDRAN,DMK,67430,,GEN,Chennai Metro
Thiruvallur,4,BE  VEE RAMANAH,AIADMK,56562,,GEN,Chennai Metro
Thiruvallur,4,K. SENTHILKUMAR,NTK,5513,,GEN,Chennai Metro
Thiruvallur,4,NOTA,NOTA,1132,,GEN,Chennai Metro
Thiruvallur,4,S. RAJENDRAN,IND,868,,GEN,Chennai Metro
Thiruvallur,4,B. RAJESH KUMAR,Bahujan Samaj Party,674,,GEN,Chennai Metro
Thiruvallur,4,E. MANI,Republican Party of India (Athawale),653,,GEN,Chennai Metro
Thiruvallur,4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,354,,GEN,Chennai Metro
Thiruvallur,4,G. RAJENDIRAN,IND,227,,GEN,Chennai Metro
Thiruvallur,4,E.KOTHANDAN,IND,203,,GEN,Chennai Metro
Thiruvallur,4,N. BALAKRISHNAN,IND,186,,GEN,Chennai Metro
Thiruvallur,4,N. NAGENDRABABU,IND,184,,GEN,Chennai Metro
Thiruvallur,4,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,,GEN,Chennai Metro
Thiruvallur,4,R. RAMANAN,IND,118,,GEN,Chennai Metro
Poonamallee,5,PRAKASAM.R,TVK,161309,,SC,Chennai Metro
Poonamallee,5,KRISHNASWAMY.A,DMK,88569,,SC,Chennai Metro
Poonamallee,5,ELUMALAI.T.A,AMMK,43280,,SC,Chennai Metro
Poonamallee,5,MEKALA.J,NTK,11697,,SC,Chennai Metro
Poonamallee,5,NOTA,NOTA,1571,,SC,Chennai Metro
Poonamallee,5,RAJASEKARAN.K,Bahujan Samaj Party,860,,SC,Chennai Metro
Poonamallee,5,RAVIKUMAR.M,IND,355,,SC,Chennai Metro
Poonamallee,5,DR.JAYANTHI.R,IND,304,,SC,Chennai Metro
Poonamallee,5,SIVAKUMAR.S,IND,297,,SC,Chennai Metro
Poonamallee,5,VELU.S,IND,264,,SC,Chennai Metro
Poonamallee,5,PURUSHOTHAMAN.B,IND,255,,SC,Chennai Metro
Poonamallee,5,DHASARATHAN.R,IND,133,,SC,Chennai Metro
Avadi,6,R.RAMESH KUMAR,TVK,180384,,GEN,Chennai Metro
Avadi,6,S.M.NASAR,DMK,104073,,GEN,Chennai Metro
Avadi,6,RAJASIMHA MAHENDRA,BJP,39605,,GEN,Chennai Metro
Avadi,6,PUNITHA SHANMUGAM,NTK,16335,,GEN,Chennai Metro
Avadi,6,NOTA,NOTA,1533,,GEN,Chennai Metro
Avadi,6,S. CHARLES,Bahujan Samaj Party,761,,GEN,Chennai Metro
Avadi,6,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,627,,GEN,Chennai Metro
Avadi,6,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,478,,GEN,Chennai Metro
Avadi,6,R. KUMAR,IND,308,,GEN,Chennai Metro
Avadi,6,P. CHELLAPANDIAN,IND,255,,GEN,Chennai Metro
Avadi,6,C.S. Karnan,Anti Corruption Dynamic Party,224,,GEN,Chennai Metro
Avadi,6,G.D. ARUNKUMAR,IND,205,,GEN,Chennai Metro
Avadi,6,R. MANIKANDAN,IND,195,,GEN,Chennai Metro
Avadi,6,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,177,,GEN,Chennai Metro
Avadi,6,S. SENTHILKUMAR,IND,167,,GEN,Chennai Metro
Avadi,6,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,156,,GEN,Chennai Metro
Avadi,6,K. BALAKRISHNAN,IND,141,,GEN,Chennai Metro
Avadi,6,M. ERAJASIMMAN,IND,105,,GEN,Chennai Metro
Avadi,6,RAJASEKAR. R,IND,105,,GEN,Chennai Metro
Avadi,6,UNIESH RAJ. M,IND,94,,GEN,Chennai Metro
Avadi,6,K. ANNAMALAI,IND,77,,GEN,Chennai Metro
Maduravoyal,7,RHEVANTH CHARAN,TVK,141725,,GEN,Chennai Metro
Maduravoyal,7,GANAPATHY. K,DMK,80216,,GEN,Chennai Metro
Maduravoyal,7,P. BENJAMIN,AIADMK,54705,,GEN,Chennai Metro
Maduravoyal,7,REVATHI L,NTK,13024,,GEN,Chennai Metro
Maduravoyal,7,NOTA,NOTA,1462,,GEN,Chennai Metro
Maduravoyal,7,R. SIVA,IND,322,,GEN,Chennai Metro
Maduravoyal,7,MURALI. S,Naam Indiar Party,300,,GEN,Chennai Metro
Maduravoyal,7,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,266,,GEN,Chennai Metro
Maduravoyal,7,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,233,,GEN,Chennai Metro
Maduravoyal,7,S. BENJAMIN MOSES,IND,207,,GEN,Chennai Metro
Maduravoyal,7,PONMUTHU RAMESH,IND,202,,GEN,Chennai Metro
Maduravoyal,7,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,171,,GEN,Chennai Metro
Maduravoyal,7,N.A. MANI,IND,157,,GEN,Chennai Metro
Maduravoyal,7,V. KAMALA KANNAN,IND,119,,GEN,Chennai Metro
Maduravoyal,7,K. GANAPATHY,IND,99,,GEN,Chennai Metro
Maduravoyal,7,R. YUVARAJ,IND,84,,GEN,Chennai Metro
Maduravoyal,7,VIGNESH NANDAGOPAL,IND,83,,GEN,Chennai Metro
Maduravoyal,7,SARAVANAN KUMAR,IND,78,,GEN,Chennai Metro
Maduravoyal,7,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,71,,GEN,Chennai Metro
Maduravoyal,7,D. ANANDAN,IND,67,,GEN,Chennai Metro
Maduravoyal,7,M. BALASUBRAMANIAN,IND,67,,GEN,Chennai Metro
Maduravoyal,7,M. JAMES,IND,34,,GEN,Chennai Metro
Ambattur,8,BALAMURUGAN.G,TVK,133339,,GEN,Chennai Metro
Ambattur,8,DR A.P. POORNIMA,DMK,74558,,GEN,Chennai Metro
Ambattur,8,K.N. SEKAR,PMK,35997,,GEN,Chennai Metro
Ambattur,8,SILAMBARASAN,NTK,11088,,GEN,Chennai Metro
Ambattur,8,NOTA,NOTA,1490,,GEN,Chennai Metro
Ambattur,8,A.KALYANASUNDARAM,Nationalist Janshakti Party,588,,GEN,Chennai Metro
Ambattur,8,R.BALAMURUGAN,IND,493,,GEN,Chennai Metro
Ambattur,8,DR. J.SAILAS,Bahujan Samaj Party,443,,GEN,Chennai Metro
Ambattur,8,DR. S.PRAVEEN,IND,308,,GEN,Chennai Metro
Ambattur,8,V. RAMKUMAR,India Suyarajya Party,224,,GEN,Chennai Metro
Ambattur,8,S. MADHAVAN,IND,179,,GEN,Chennai Metro
Ambattur,8,M.S. ARUMUGAM,IND,135,,GEN,Chennai Metro
Ambattur,8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,127,,GEN,Chennai Metro
Ambattur,8,K. SEKAR,IND,127,,GEN,Chennai Metro
Ambattur,8,S. JANARTHANAN,IND,126,,GEN,Chennai Metro
Ambattur,8,G.P. SEKAR,IND,103,,GEN,Chennai Metro
Ambattur,8,PALANI,IND,103,,GEN,Chennai Metro
Ambattur,8,D.K.MESHACK KIRUBAKARAN,IND,102,,GEN,Chennai Metro
Ambattur,8,JOTHI.M,IND,89,,GEN,Chennai Metro
Ambattur,8,VINAYAGAMOORTHY.R,IND,83,,GEN,Chennai Metro
Ambattur,8,P. ARUMUGAM,IND,77,,GEN,Chennai Metro
Ambattur,8,G. SAMPATH,IND,72,,GEN,Chennai Metro
Ambattur,8,D. PUSHPA,IND,68,,GEN,Chennai Metro
Ambattur,8,D. JEYAGANESH,Naam Indiar Party,67,,GEN,Chennai Metro
Madavaram,9,M.L.VIJAYPRABHU,TVK,190462,,GEN,Chennai Metro
Madavaram,9,S.SUDHARSANAM,DMK,95477,,GEN,Chennai Metro
Madavaram,9,MADHAVARAM V.MOORTHY,AIADMK,59290,,GEN,Chennai Metro
Madavaram,9,E.KRITHIKA,NTK,12637,,GEN,Chennai Metro
Madavaram,9,NOTA,NOTA,1394,,GEN,Chennai Metro
Madavaram,9,I.RAFFIK,Naadaalum Makkal Katchi,676,,GEN,Chennai Metro
Madavaram,9,N.JANAKIRAMAN,Bahujan Samaj Party,537,,GEN,Chennai Metro
Madavaram,9,R.KARTHIKEYAN,Tamizhaga Vaazhvurimai Katchi,232,,GEN,Chennai Metro
Madavaram,9,S.SIVAKUMAR,IND,198,,GEN,Chennai Metro
Madavaram,9,G.PRABU,IND,191,,GEN,Chennai Metro
Madavaram,9,V.MURTHY,IND,188,,GEN,Chennai Metro
Madavaram,9,A.NAGARAJAN,IND,177,,GEN,Chennai Metro
Madavaram,9,SUDARSANAM,IND,157,,GEN,Chennai Metro
Madavaram,9,C.MOORTHY,IND,154,,GEN,Chennai Metro
Madavaram,9,A.PONNALAGAN,IND,129,,GEN,Chennai Metro
Madavaram,9,R.S.BALAJI,IND,99,,GEN,Chennai Metro
Thiruvottiyur,10,SENTHIL KUMAR. N,TVK,110067,,GEN,Chennai Metro
Thiruvottiyur,10,SUNDARARAJ. L,CPI(M),56503,,GEN,Chennai Metro
Thiruvottiyur,10,KUPPAN. K,AIADMK,28320,,GEN,Chennai Metro
Thiruvottiyur,10,SATHYA. B,NTK,8413,,GEN,Chennai Metro
Thiruvottiyur,10,MICHAELRAJ. M. A,IND,838,,GEN,Chennai Metro
Thiruvottiyur,10,NOTA,NOTA,805,,GEN,Chennai Metro
Thiruvottiyur,10,MAHENDRA KUMAR. D,Bahujan Samaj Party,458,,GEN,Chennai Metro
Thiruvottiyur,10,VIJAY. A,IND,316,,GEN,Chennai Metro
Thiruvottiyur,10,BALARUBAN,IND,307,,GEN,Chennai Metro
Thiruvottiyur,10,SASIREKHA. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,271,,GEN,Chennai Metro
Thiruvottiyur,10,DILLI KUMAR. R,Democratic National Allegiance,198,,GEN,Chennai Metro
Thiruvottiyur,10,VENKATARAMANAN. J,Tamizhaga Vaazhvurimai Katchi,149,,GEN,Chennai Metro
Thiruvottiyur,10,THANIKASALAM. B,IND,139,,GEN,Chennai Metro
Thiruvottiyur,10,GOPI. K,IND,117,,GEN,Chennai Metro
Thiruvottiyur,10,JANAGARAJ,IND,110,,GEN,Chennai Metro
Thiruvottiyur,10,ARAVIND. R,IND,77,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,N. MARIE WILSON,TVK,97800,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,J. JOHN EBENEZER,DMK,48132,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,R.S.RAAJESH,AIADMK,26892,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,VENNILA.T,NTK,5364,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,NOTA,NOTA,561,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,B.NAVIN,Tamizhaga Vaazhvurimai Katchi,338,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,236,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,D.PRABHU,IND,211,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,A.MOHANRAJ,Socialist Unity Centre Of India (COMMUNIST),179,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,J.SARAVANAKUMAR,IND,149,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,M. SATHISH,IND,112,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,K. MURALI,IND,91,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,V.SUDHAKAR,IND,86,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,A.VIJAY,IND,71,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,C. RAJAMANICKAM,IND,65,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,G. VIJAY,IND,58,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,L.SARAVANAN,IND,54,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,G. BOTHI RAJAN,IND,54,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,CHANDRASEKAR,Tamizhaga Murpokku Makkal Katchi,47,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,MANIKANDAN.H,IND,47,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,J.MURALI KRISHNAN,IND,47,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,D.KARTHIKEYAN,Samata Party,44,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,R.ETHIRAJ,IND,44,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,C.JANARTHANAN,IND,42,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,A. USHA,IND,41,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,V.SHANKAR,IND,40,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,R.DEVAKUMAR,IND,40,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,R. MUTHU CHELLA BHARATHI,IND,39,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,D. JANARTHANAN,IND,37,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,R.TAMILARASAN,IND,36,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,V. MADHAN MOHAN,IND,35,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,P. MARIMUTHU,IND,35,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,D. AJITH KUMAR,IND,32,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,AMUDHA.N,IND,30,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,J.VIJAYAN,IND,26,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,K. SUJITH,IND,25,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,TAMILSELVAN,IND,25,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,S.EMMANUVEL,IND,24,,GEN,Chennai Metro
Dr.Radhakrishnan Nagar,11,G. MADHAN KUMAR,IND,17,,GEN,Chennai Metro
Perambur,12,C. JOSEPH VIJAY,TVK,120365,,GEN,Chennai Metro
Perambur,12,R.D. SHEKAR,DMK,66650,,GEN,Chennai Metro
Perambur,12,M. THILAGABAMA,PMK,8561,,GEN,Chennai Metro
Perambur,12,S. VETRI THAMIZHAN,NTK,5114,,GEN,Chennai Metro
Perambur,12,NOTA,NOTA,601,,GEN,Chennai Metro
Perambur,12,A. RAJARAM,Republican Party of India (Athawale),256,,GEN,Chennai Metro
Perambur,12,G. RUTHRA KUMAR,IND,238,,GEN,Chennai Metro
Perambur,12,AGNI AALVAR,IND,230,,GEN,Chennai Metro
Perambur,12,VIJAY,All India Jananayaka Makkal Kazhagam,216,,GEN,Chennai Metro
Perambur,12,VETRI VEL SELVAM,Bahujan Samaj Party,174,,GEN,Chennai Metro
Perambur,12,V. RAJI,IND,148,,GEN,Chennai Metro
Perambur,12,BOWDHARAJ,IND,118,,GEN,Chennai Metro
Perambur,12,J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),101,,GEN,Chennai Metro
Perambur,12,D.V. VENUGOPAL,Tamizhaga Vaazhvurimai Katchi,98,,GEN,Chennai Metro
Perambur,12,DR.D. MADAN,IND,95,,GEN,Chennai Metro
Perambur,12,K.M. DEVAN,Makkal Murasu Katchi,94,,GEN,Chennai Metro
Perambur,12,B. BALAJI,IND,93,,GEN,Chennai Metro
Perambur,12,VIJAY. G,IND,90,,GEN,Chennai Metro
Perambur,12,AZARUTHEEN.M,IND,78,,GEN,Chennai Metro
Perambur,12,P. THANGAMANI,IND,78,,GEN,Chennai Metro
Perambur,12,S. JOSEPH,IND,77,,GEN,Chennai Metro
Perambur,12,ASHLIN BELMEN .A.S,Tamilnadu Mahatma Gandhi Makkal Katchi,71,,GEN,Chennai Metro
Perambur,12,NIVETHA,IND,70,,GEN,Chennai Metro
Perambur,12,P. PONRAJ,IND,63,,GEN,Chennai Metro
Perambur,12,DR.G. MOORTHY,IND,53,,GEN,Chennai Metro
Perambur,12,R. JAYASEELAN,IND,51,,GEN,Chennai Metro
Perambur,12,M. GEETA,Thakkam Katchi,47,,GEN,Chennai Metro
Perambur,12,S. SURESHKUMAR,Makkalatchi Katchi,46,,GEN,Chennai Metro
Perambur,12,M. JOSEPH,IND,43,,GEN,Chennai Metro
Perambur,12,M. KADHIRAVAN,IND,41,,GEN,Chennai Metro
Perambur,12,DR.R. SARAVANA PERUMAL,Makkal Nalvaazhvuk Katchi,39,,GEN,Chennai Metro
Perambur,12,M.I. THAHIRA BANU,IND,33,,GEN,Chennai Metro
Perambur,12,S. MALATHI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,32,,GEN,Chennai Metro
Perambur,12,AMALA.R,IND,32,,GEN,Chennai Metro
Perambur,12,REEGAN PRABHU,IND,31,,GEN,Chennai Metro
Perambur,12,SIVAKUMAR.V,Tamil Telugu National Party,30,,GEN,Chennai Metro
Perambur,12,H. DHANASEKAR,IND,28,,GEN,Chennai Metro
Perambur,12,B. VENKATESAN,IND,26,,GEN,Chennai Metro
Perambur,12,S. MICHAEL,IND,24,,GEN,Chennai Metro
Perambur,12,S. RAJESH KUMAR,IND,21,,GEN,Chennai Metro
Perambur,12,B. SATHISH KUMAR,IND,19,,GEN,Chennai Metro
Perambur,12,SATHISH.B,IND,19,,GEN,Chennai Metro
Perambur,12,P. GUNASEKAR,IND,18,,GEN,Chennai Metro
Perambur,12,S. RAMESH,IND,17,,GEN,Chennai Metro
Perambur,12,E. UDHAYA KUMAR,IND,16,,GEN,Chennai Metro
Perambur,12,P. ESAKKI MUTHU,IND,14,,GEN,Chennai Metro
Perambur,12,S. VISHNU VARTHAN,IND,13,,GEN,Chennai Metro
Perambur,12,M. TAMILSELVAM,IND,12,,GEN,Chennai Metro
Kolathur,13,V. S. BABU,TVK,82997,,GEN,Chennai Metro
Kolathur,13,M. K. STALIN,DMK,74202,,GEN,Chennai Metro
Kolathur,13,P. SANTHANA KRISHNAN,AIADMK,18430,,GEN,Chennai Metro
Kolathur,13,SOUNDARA PANDIAN LUDER SETH,NTK,5046,,GEN,Chennai Metro
Kolathur,13,NOTA,NOTA,892,,GEN,Chennai Metro
Kolathur,13,S.Y. SYED YUSUF,Republican Party of India (Athawale),484,,GEN,Chennai Metro
Kolathur,13,SUBASHINI,Bahujan Samaj Party,236,,GEN,Chennai Metro
Kolathur,13,AATHITHYA,Samata Party,181,,GEN,Chennai Metro
Kolathur,13,R. RAJ GURU,IND,153,,GEN,Chennai Metro
Kolathur,13,R. SENTHIL KUMAR,IND,125,,GEN,Chennai Metro
Kolathur,13,SELVI STEFFI. V. M,IND,122,,GEN,Chennai Metro
Kolathur,13,OORMILA,Tamizhaga Vaazhvurimai Katchi,105,,GEN,Chennai Metro
Kolathur,13,J. SURIYA MUTHU,IND,84,,GEN,Chennai Metro
Kolathur,13,NANDA KUMAR,IND,79,,GEN,Chennai Metro
Kolathur,13,A. L. NARESH KUMAR,IND,74,,GEN,Chennai Metro
Kolathur,13,M. RAJESHKUMAR,IND,73,,GEN,Chennai Metro
Kolathur,13,R. MAHESH,IND,64,,GEN,Chennai Metro
Kolathur,13,M. POORNIMA,IND,56,,GEN,Chennai Metro
Kolathur,13,P. MILANY,IND,56,,GEN,Chennai Metro
Kolathur,13,ARUL DOSS. A.,IND,55,,GEN,Chennai Metro
Kolathur,13,VIGIRDHAN,IND,53,,GEN,Chennai Metro
Kolathur,13,V. NARESH BABU,IND,52,,GEN,Chennai Metro
Kolathur,13,K. PANNEER SELVAM,IND,50,,GEN,Chennai Metro
Kolathur,13,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi,49,,GEN,Chennai Metro
Kolathur,13,KAJA MAIDEEN,IND,43,,GEN,Chennai Metro
Kolathur,13,S. SHARAN,IND,35,,GEN,Chennai Metro
Kolathur,13,R. RAVIKUMAR,IND,34,,GEN,Chennai Metro
Kolathur,13,M. SURESH,IND,33,,GEN,Chennai Metro
Kolathur,13,V. A. SUDHAKAR,IND,31,,GEN,Chennai Metro
Kolathur,13,RAJA. G.,IND,28,,GEN,Chennai Metro
Kolathur,13,SIVAGNANASAM,Desiya Makkal Sakthi Katchi,26,,GEN,Chennai Metro
Kolathur,13,K. ELUMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,24,,GEN,Chennai Metro
Kolathur,13,A. RAJI,IND,23,,GEN,Chennai Metro
Kolathur,13,FARMER JAYARAMAN. S K J.,IND,22,,GEN,Chennai Metro
Kolathur,13,R. BALAJI,IND,21,,GEN,Chennai Metro
Kolathur,13,S. BALACHANDAR,IND,13,,GEN,Chennai Metro
Villivakkam,14,AADHAV ARJUNA,TVK,66445,,GEN,Chennai Metro
Villivakkam,14,KARTHIK MOHAN,DMK,49143,,GEN,Chennai Metro
Villivakkam,14,VIJAYAKUMAR  S.R,AIADMK,19338,,GEN,Chennai Metro
Villivakkam,14,ROSHINI S,NTK,4310,,GEN,Chennai Metro
Villivakkam,14,NOTA,NOTA,695,,GEN,Chennai Metro
Villivakkam,14,DHAYANIDHI D,IND,184,,GEN,Chennai Metro
Villivakkam,14,ABDUL SHABEEK  A,Tamizhaga Vaazhvurimai Katchi,147,,GEN,Chennai Metro
Villivakkam,14,AJITHKUMAR A,Thakkam Katchi,147,,GEN,Chennai Metro
Villivakkam,14,SHANMUGA D,IND,107,,GEN,Chennai Metro
Villivakkam,14,ASHOK KUMAR C.A,IND,99,,GEN,Chennai Metro
Villivakkam,14,MURALI R,IND,88,,GEN,Chennai Metro
Villivakkam,14,SUBRAMANI K,IND,77,,GEN,Chennai Metro
Villivakkam,14,KARTHICK P,IND,71,,GEN,Chennai Metro
Villivakkam,14,DEVARAJAN G,IND,62,,GEN,Chennai Metro
Villivakkam,14,KANNAN M,IND,58,,GEN,Chennai Metro
Villivakkam,14,SOLOMON  J.R,IND,51,,GEN,Chennai Metro
Villivakkam,14,BALAMURALI G,IND,50,,GEN,Chennai Metro
Villivakkam,14,KARTHICK S,IND,48,,GEN,Chennai Metro
Villivakkam,14,JAYA ZEBA C,IND,48,,GEN,Chennai Metro
Villivakkam,14,VIJAYAKUMAR G,IND,46,,GEN,Chennai Metro
Villivakkam,14,KANDASAMY S,IND,42,,GEN,Chennai Metro
Villivakkam,14,ANBAZHAGAN G,IND,33,,GEN,Chennai Metro
Villivakkam,14,YUVARAJ S,IND,32,,GEN,Chennai Metro
Villivakkam,14,VIJAYAKUMAR  D,IND,30,,GEN,Chennai Metro
Villivakkam,14,CHARAVANAN M.P,IND,29,,GEN,Chennai Metro
Villivakkam,14,MURALI VINODH  M,IND,28,,GEN,Chennai Metro
Villivakkam,14,MANIMARAN P,IND,25,,GEN,Chennai Metro
Villivakkam,14,PURUSHOTHAMAN P,IND,10,,GEN,Chennai Metro
Villivakkam,14,RAJI M,IND,9,,GEN,Chennai Metro
Thiru-Vi-Ka-Nagar,15,M. R. PALLAVI,TVK,69125,,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,K. S. RAVICHANDRAN,DMK,46792,,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,PORKODI ARMSTRONG,AIADMK,23304,,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,JAGADESH CHANDER .M,NTK,2658,,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,NOTA,NOTA,527,,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,S JAYAKALPANA,Republican Party of India (Athawale),350,,SC,Chennai Metro
