constituency,ac_number,candidate,party,votes,turnout,reserved,region
Thiruvottiyur,10,K.GOPINATH,IND,96,65.15,GEN,Chennai Metro
Thiruvottiyur,10,B.DHANASEKARAN,IND,88,65.15,GEN,Chennai Metro
Thiruvottiyur,10,B.ZAKIR HUSSAIN,IND,71,65.15,GEN,Chennai Metro
Thiruvottiyur,10,PRAVINA,IND,52,65.15,GEN,Chennai Metro
Thiruvottiyur,10,N.RAJESH KUMAR,IND,48,65.15,GEN,Chennai Metro
Thiruvottiyur,10,V.SURESHBALAJI,IND,29,65.15,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,RAAJESH.R.S.,AIADMK,53284,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,GOWRISHANKAR . K,NTK,20437,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,FAZIL . A,MNM,11198,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,DR. KALIDAS . P,AMMK,1852,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,None Of The Above,NOTA,1704,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,SANTHAKUMAR . A,IND,557,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,VIJAYAN.P,BSP,361,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,SASIDARAN.S,IND,241,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,Daniel Sachin Mani.E,IND,222,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,SIVAKUMAR.S,SUCI,215,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,BABU MAILAN . A,RPI(A),115,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,KANDEEPAN.G,IND,111,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,RAMADASS . E,Makkal Nalvaazhvuk Katchi,104,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,GUNASEKARAN.G,IND,92,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,MOHAN . R,United States of India Party,79,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,PREMKUMAR.P,IND,79,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,KALIDASS,IND,67,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,SRIDHAR . C,IND,55,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,DEVAKUMAR.R,IND,48,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,DEVARAJ.M,IND,48,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,RAJESH . I,IND,47,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,FRANKLIN.D,IND,44,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,PURUSHOTHAMAN . K,IND,44,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,BOOTHIRAJAN.G,IND,39,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,MARIMUTHU.P,IND,38,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,RAJESH . S,IND,37,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,VENKATRAMAN . C,IND,37,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,VENUGOPAL.D,SHS,34,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,VIVEK.C,IND,27,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,ETHIRAJ.R,IND,26,70.98,GEN,Chennai Metro
Dr. Radhakrishnan Nagar,11,MADHAN RAJ . D,IND,22,70.98,GEN,Chennai Metro
Perambur,12,SHEKAR. R.D,DMK,105267,63.0,GEN,Chennai Metro
Perambur,12,DHANAPALAN N.R,AIADMK,50291,63.0,GEN,Chennai Metro
Perambur,12,MERLIN SUGANTHI. S,NTK,19821,63.0,GEN,Chennai Metro
Perambur,12,PONNUSAMY. A,MNM,17072,63.0,GEN,Chennai Metro
Perambur,12,LAKSHMI NARAYANAN. E,AMMK,4042,63.0,GEN,Chennai Metro
Perambur,12,None Of The Above,NOTA,1515,63.0,GEN,Chennai Metro
Perambur,12,SURESH. C,BSP,515,63.0,GEN,Chennai Metro
Perambur,12,SOOSAI. M.A,RPI(A),296,63.0,GEN,Chennai Metro
Perambur,12,SEBASTIN. J,SUCI,194,63.0,GEN,Chennai Metro
Perambur,12,SATHEESH. J,IND,174,63.0,GEN,Chennai Metro
Perambur,12,PARTHIPAN. P,IND,172,63.0,GEN,Chennai Metro
Perambur,12,SEKAR. P,IND,166,63.0,GEN,Chennai Metro
Perambur,12,RAJESH. K,IND,163,63.0,GEN,Chennai Metro
Perambur,12,PREM ANAND. J,IND,112,63.0,GEN,Chennai Metro
Perambur,12,SATHISHKUMAR. S,IND,106,63.0,GEN,Chennai Metro
Perambur,12,RAJESH KUMAR. S,IND,90,63.0,GEN,Chennai Metro
Perambur,12,SELVARAJ. R,IND,87,63.0,GEN,Chennai Metro
Perambur,12,SARAVANA PERUMAL. R,IND,65,63.0,GEN,Chennai Metro
Perambur,12,UDAYAKUMAR. S,IND,60,63.0,GEN,Chennai Metro
Perambur,12,KADHIRAVAN. M,IND,48,63.0,GEN,Chennai Metro
Perambur,12,VENKATESH. L,IND,46,63.0,GEN,Chennai Metro
Perambur,12,VINOTHKUMAR. G,IND,45,63.0,GEN,Chennai Metro
Perambur,12,VASANTHA KUMAR. M,IND,40,63.0,GEN,Chennai Metro
Kolathur,13,M.K. STALIN,DMK,105522,61.04,GEN,Chennai Metro
Kolathur,13,AADIRAJARAM,AIADMK,35138,61.04,GEN,Chennai Metro
Kolathur,13,A.JAGADISH KUMAR,MNM,14076,61.04,GEN,Chennai Metro
Kolathur,13,F.CAMILUS SELVA,NTK,11279,61.04,GEN,Chennai Metro
Kolathur,13,None Of The Above,NOTA,1529,61.04,GEN,Chennai Metro
Kolathur,13,MJS.JAMAL MOHAMED MEERA,BSP,1295,61.04,GEN,Chennai Metro
Kolathur,13,J.ARUMUGAM,AMMK,1080,61.04,GEN,Chennai Metro
Kolathur,13,AGNI SRI RAMACHANDRAN,IND,681,61.04,GEN,Chennai Metro
Kolathur,13,SURESH,Tamil Nadu Ilangyar Katchi,620,61.04,GEN,Chennai Metro
Kolathur,13,ASHOK KUMAR.S,New Generation People’s Party,257,61.04,GEN,Chennai Metro
Kolathur,13,AL. NARESH KUMAR,IND,198,61.04,GEN,Chennai Metro
Kolathur,13,DIVYA,IND,181,61.04,GEN,Chennai Metro
Kolathur,13,G.VELMURUGAN,SHS,132,61.04,GEN,Chennai Metro
Kolathur,13,L.KATHIRESAN,IND,118,61.04,GEN,Chennai Metro
Kolathur,13,VIVEKRAJ.J,Thamizhaga Munnetra Congress,116,61.04,GEN,Chennai Metro
Kolathur,13,J.SURIYAMUTHU,IND,110,61.04,GEN,Chennai Metro
Kolathur,13,MIRZA SAFDAR ALI,IND,97,61.04,GEN,Chennai Metro
Kolathur,13,MALARVIZHI,IND,92,61.04,GEN,Chennai Metro
Kolathur,13,D.SURESHBABU,Desiya Makkal Sakthi Katchi,87,61.04,GEN,Chennai Metro
Kolathur,13,SATHIYASEELAN,IND,86,61.04,GEN,Chennai Metro
Kolathur,13,ELUMALAI.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,69,61.04,GEN,Chennai Metro
Kolathur,13,M.RAJENDRAN,National Democratic Party of South India,65,61.04,GEN,Chennai Metro
Kolathur,13,RAMA DEVI,IND,61,61.04,GEN,Chennai Metro
Kolathur,13,C.JEEVAKUMAR,IND,52,61.04,GEN,Chennai Metro
Kolathur,13,D.NILAMANI,IND,45,61.04,GEN,Chennai Metro
Kolathur,13,S.SURESHKUMAR,Makkalatchi Katchi,43,61.04,GEN,Chennai Metro
Kolathur,13,A.SEETHA,Bahujan Dravida Party,41,61.04,GEN,Chennai Metro
Kolathur,13,K. PANNERSELVAM,IND,40,61.04,GEN,Chennai Metro
Kolathur,13,P.SENTHIL KUMAR,IND,38,61.04,GEN,Chennai Metro
Kolathur,13,P.HARISHKUMAR,IND,38,61.04,GEN,Chennai Metro
Kolathur,13,DEVIKARANI,IND,37,61.04,GEN,Chennai Metro
Kolathur,13,M.A.S. SENTHIL KUMAR,IND,33,61.04,GEN,Chennai Metro
Kolathur,13,R.SELVAM,IND,33,61.04,GEN,Chennai Metro
Kolathur,13,E.RAJENDRAN,Anna MGR Dravida Makkal Kalgam,30,61.04,GEN,Chennai Metro
Kolathur,13,NIRMALA DEVI,IND,29,61.04,GEN,Chennai Metro
Kolathur,13,V.SURESHKUMAR,IND,22,61.04,GEN,Chennai Metro
Kolathur,13,B.VIJAYA KUMAR,IND,18,61.04,GEN,Chennai Metro
Villivakkam,14,A . Vetriazhagan,DMK,76127,55.92,GEN,Chennai Metro
Villivakkam,14,J.C.D.Prabhakar,AIADMK,38890,55.92,GEN,Chennai Metro
Villivakkam,14,Sriharan,MNM,13364,55.92,GEN,Chennai Metro
Villivakkam,14,R.Sridar,NTK,10914,55.92,GEN,Chennai Metro
Villivakkam,14,None Of The Above,NOTA,1444,55.92,GEN,Chennai Metro
Villivakkam,14,D.Subamangalam,DMDK,1094,55.92,GEN,Chennai Metro
Villivakkam,14,Syed Rayhan,IND,409,55.92,GEN,Chennai Metro
Villivakkam,14,Jagadesh Jayakumar,Valamaana  Tamizhagam   Katchi,261,55.92,GEN,Chennai Metro
Villivakkam,14,A.Palanivel,BSP,222,55.92,GEN,Chennai Metro
Villivakkam,14,M.Gunasekaran,IND,206,55.92,GEN,Chennai Metro
Villivakkam,14,S.Chandrika,IND,194,55.92,GEN,Chennai Metro
Villivakkam,14,L.Govindaraj,Nam India Naam Indiyar Katchi,189,55.92,GEN,Chennai Metro
Villivakkam,14,S.Baskar,IND,171,55.92,GEN,Chennai Metro
Villivakkam,14,M.Murali Vinodh,IND,98,55.92,GEN,Chennai Metro
Villivakkam,14,S. Raju Bharathi,Desiya Makkal Sakthi Katchi,88,55.92,GEN,Chennai Metro
Villivakkam,14,A . Ajith Kumar,IND,80,55.92,GEN,Chennai Metro
Villivakkam,14,S.Kandasamy,IND,74,55.92,GEN,Chennai Metro
Villivakkam,14,C.Mohan,IND,54,55.92,GEN,Chennai Metro
Villivakkam,14,M .Jalal,IND,43,55.92,GEN,Chennai Metro
Villivakkam,14,A.S.Kumar,IND,42,55.92,GEN,Chennai Metro
Villivakkam,14,C.A.Ashok Kumar,IND,40,55.92,GEN,Chennai Metro
Villivakkam,14,G.Iyanar,IND,36,55.92,GEN,Chennai Metro
Villivakkam,14,G. Devapriyan,IND,27,55.92,GEN,Chennai Metro
Villivakkam,14,C.Raghul,IND,25,55.92,GEN,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SIVAKUMAR.P,DMK,81727,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,KALYANI.P.L,AIADMK,26714,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,ILLAVANJI.Dr.R,NTK,10921,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,OBATH.S,MNM,9710,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SEKAR.M.P,DMDK,1787,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,None Of The Above,NOTA,1046,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,BAGAVATH SINGH.M,BSP,355,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SIHAMANI.G,IND,214,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SUNDAR.G,IND,144,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SELVAKUMAR.A,IND,136,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,KALYANI.K,IND,129,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SEKAR.E,IND,125,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,RAMESH BABU.M,IND,106,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,KOLANJI.M,IND,85,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,PRABHAKARAN.K,Makkalatchi Katchi,79,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,UDAYA CHANDRAN .R,IND,77,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,RAVIKUMAR.S,Republican Party of India  (Sivaraj),62,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,MALATHI.S,IND,57,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,PREMKUMAR.G,IND,44,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,RAVIPARAIYANAR.D,RPI(A),41,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,SANTHANU.S,IND,38,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,RANGANATHAN.M,IND,37,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,GOVINDARAJ.G,IND,33,60.62,SC,Chennai Metro
Thiru-Vi-Ka-Nagar,15,BIRLABOSE.M,IND,29,60.62,SC,Chennai Metro
Egmore,16,I.PARANTHAMEN,DMK,68832,61.13,SC,Chennai Metro
Egmore,16,B.JOHN PANDIAN,AIADMK,30064,61.13,SC,Chennai Metro
