ac_number,constituency,district,region,reserved
83,Yercaud,Salem,Central,ST
84,Omalur,Salem,Central,GEN
85,Mettur,Salem,Central,GEN
86,Edapadi,Salem,Central,GEN
87,Sankari,Salem,Central,GEN
88,Salem (West),Salem,Central,GEN
89,Salem (North),Salem,Central,GEN
90,Salem (South),Salem,Central,GEN
91,Veerapandi,Salem,Central,GEN
92,Rasipuram,Namakkal,Central,SC
93,Sendamangalam,Namakkal,Central,ST
94,Namakkal,Namakkal,Central,GEN
95,Paramathi-Velur,Namakkal,Central,GEN
96,Tiruchengode,Namakkal,Central,GEN
97,Kumarapalayam,Namakkal,Central,GEN
98,Erode (East),Erode,Kongu,GEN
99,Erode (West),Erode,Kongu,GEN
100,Modakurichi,Erode,Kongu,GEN
101,Dharapuram,Erode,Kongu,SC
102,Kangayam,Erode,Kongu,GEN
103,Perundurai,Erode,Kongu,GEN
104,Bhavani,Erode,Kongu,GEN
105,Anthiyur,Erode,Kongu,GEN
106,Gobichettipalayam,Tirupur,Kongu,GEN
107,Bhavanisagar,Tirupur,Kongu,SC
108,Udhagamandalam,Tirupur,Kongu,GEN
109,Gudalur,Tirupur,Kongu,SC
110,Coonoor,Tirupur,Kongu,GEN
111,Mettupalayam,Tirupur,Kongu,GEN
112,Avanashi,Tirupur,Kongu,SC
113,Tiruppur (North),Tirupur,Kongu,GEN
114,Tiruppur (South),Nilgiris,Kongu,GEN
115,Palladam,Nilgiris,Kongu,GEN
116,Sulur,Nilgiris,Kongu,GEN
117,Kavundampalayam,Coimbatore,Kongu,GEN
118,Coimbatore North,Coimbatore,Kongu,GEN
119,Thondamuthur,Coimbatore,Kongu,GEN
120,Coimbatore South,Coimbatore,Kongu,GEN
121,Singanallur,Coimbatore,Kongu,GEN
122,Kinathukadavu,Coimbatore,Kongu,GEN
123,Pollachi,Coimbatore,Kongu,GEN
124,Valparai,Coimbatore,Kongu,SC
125,Udumalpet,Coimbatore,Kongu,GEN
126,Madathukulam,Coimbatore,Kongu,GEN
127,Palani,Dindigul,South,GEN
128,Oddanchatram,Dindigul,South,GEN
129,Athoor,Dindigul,South,GEN
130,Nilakottai,Dindigul,South,SC
131,Natham,Dindigul,South,GEN
132,Dindigul,Dindigul,South,GEN
133,Vedasandur,Dindigul,South,GEN
134,Aravakurichi,Karur,Kongu,GEN
135,Karur,Karur,Kongu,GEN
136,Krishnarayapuram,Karur,Kongu,SC
137,Kulithalai,Karur,Kongu,GEN
138,Manapparai,Tiruchirappalli,Delta,GEN
139,Srirangam,Tiruchirappalli,Delta,GEN
140,Tiruchirapalli (West),Tiruchirappalli,Delta,GEN
141,Tiruchirapalli (East),Tiruchirappalli,Delta,GEN
142,Thiruverambur,Tiruchirappalli,Delta,GEN
143,Lalgudi,Tiruchirappalli,Delta,GEN
144,Manachanallur,Tiruchirappalli,Delta,GEN
145,Musiri,Tiruchirappalli,Delta,GEN
146,Thuraiyur,Tiruchirappalli,Delta,SC
147,Perambalur,Perambalur,Central,SC
148,Kunnam,Perambalur,Central,GEN
149,Ariyalur,Ariyalur,Central,GEN
150,Jayankondam,Ariyalur,Central,GEN
151,Tittakudi,Cuddalore,Central,SC
152,Vriddhachalam,Cuddalore,Central,GEN
153,Neyveli,Cuddalore,Central,GEN
154,Panruti,Cuddalore,Central,GEN
155,Cuddalore,Cuddalore,Central,GEN
156,Kurinjipadi,Cuddalore,Central,GEN
157,Bhuvanagiri,Cuddalore,Central,GEN
158,Chidambaram,Cuddalore,Central,GEN
159,Kattumannarkoil,Cuddalore,Central,SC
160,Sirkali,Nagapattinam,Delta,SC
161,Mayiladuthurai,Nagapattinam,Delta,GEN
162,Poompuhar,Nagapattinam,Delta,GEN
163,Nagapattinam,Nagapattinam,Delta,GEN
164,Kilvelur,Nagapattinam,Delta,SC
165,Vedaranyam,Nagapattinam,Delta,GEN
166,Thiruthuraipundi,Tiruvarur,Delta,SC
167,Mannargudi,Tiruvarur,Delta,GEN
168,Thiruvarur,Tiruvarur,Delta,GEN
169,Nannilam,Tiruvarur,Delta,GEN
170,Thiruvidamarudur,Thanjavur,Delta,SC
171,Kumbakonam,Thanjavur,Delta,GEN
172,Papanasam,Thanjavur,Delta,GEN
173,Thiruvaiyaru,Thanjavur,Delta,GEN
174,Thanjavur,Thanjavur,Delta,GEN
175,Orathanad,Thanjavur,Delta,GEN
176,Pattukkottai,Thanjavur,Delta,GEN
177,Peravurani,Thanjavur,Delta,GEN
178,Gandharvakottai,Pudukkottai,Delta,SC
179,Viralimalai,Pudukkottai,Delta,GEN
180,Pudukkottai,Pudukkottai,Delta,GEN
181,Thirumayam,Pudukkottai,Delta,GEN
182,Alangudi,Pudukkottai,Delta,GEN
183,Arantangi,Pudukkottai,Delta,GEN
184,Karaikudi,Sivaganga,South,GEN
185,Tiruppattur,Sivaganga,South,GEN
186,Sivaganga,Sivaganga,South,GEN
187,Manamadurai,Sivaganga,South,SC
188,Melur,Madurai,South,GEN
189,Madurai East,Madurai,South,GEN
190,Sholavandan,Madurai,South,SC
191,Madurai North,Madurai,South,GEN
192,Madurai South,Madurai,South,GEN
193,Madurai Central,Madurai,South,GEN
194,Madurai West,Madurai,South,GEN
195,Thiruparankundram,Madurai,South,GEN
196,Thirumangalam,Madurai,South,GEN
197,Usilampatti,Madurai,South,GEN
198,Andipatti,Theni,South,GEN
199,Periyakulam,Theni,South,SC
200,Bodinayakanur,Theni,South,GEN
201,Cumbum,Theni,South,GEN
202,Rajapalayam,Virudhunagar,South,GEN
203,Srivilliputhur,Virudhunagar,South,SC
204,Sattur,Virudhunagar,South,GEN
205,Sivakasi,Virudhunagar,South,GEN
206,Virudhunagar,Virudhunagar,South,GEN
207,Aruppukottai,Virudhunagar,South,GEN
208,Tiruchuli,Virudhunagar,South,GEN
209,Paramakudi,Ramanathapuram,South,SC
210,Tiruvadanai,Ramanathapuram,South,GEN
211,Ramanathapuram,Ramanathapuram,South,GEN
212,Mudukulathur,Ramanathapuram,South,GEN
213,Vilathikulam,Thoothukudi,South,GEN
214,Thoothukkudi,Thoothukudi,South,GEN
215,Tiruchendur,Thoothukudi,South,GEN
216,Srivaikuntam,Thoothukudi,South,GEN
217,Ottapidaram,Thoothukudi,South,SC
218,Kovilpatti,Thoothukudi,South,GEN
219,Sankarankovil,Tirunelveli,South,SC
220,Vasudevanallur,Tirunelveli,South,SC
221,Kadayanallur,Tirunelveli,South,GEN
222,Tenkasi,Tirunelveli,South,GEN
223,Alangulam,Tirunelveli,South,GEN
224,Tirunelveli,Tirunelveli,South,GEN
225,Ambasamudram,Tirunelveli,South,GEN
226,Palayamcottai,Tirunelveli,South,GEN
227,Nanguneri,Tirunelveli,South,GEN
228,Radhapuram,Tirunelveli,South,GEN
229,Kanniyakumari,Kanniyakumari,South,GEN
230,Nagercoil,Kanniyakumari,South,GEN
231,Colachel,Kanniyakumari,South,GEN
232,Padmanabhapuram,Kanniyakumari,South,GEN
233,Vilavancode,Kanniyakumari,South,GEN
234,Killiyoor,Kanniyakumari,South,GEN
